,Unnamed: 0.1,Unnamed: 0,month,year,region,id,count,title,rank,date,artist,url,acoustic,dance,energy,instrumental,loudness,mode,tempo,valence,explicit,lyrics,emotions,anger,love,sadness,emotions_id
10,10,297,1,2017,United States,0SGkqnVQo9KPytSri1H6cF,31,Bounce Back,10,2017-01-01,Big Sean,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,0.106,0.78,0.575,0.0,-5.628,0.0,81.502,0.273,True,"If Young Metro don't trust you I'ma shoot you
Last night took an L, but tonight I bounce back
Wake up every morning, by the night, I count stacks
Knew that ass was real when I hit, it bounce back
(You ain't getting checks)
Boy, I been broke as hell, cashed a check and bounced back
D town LAX, every week I bounce back
If you a real one, then you know how to bounce back
Don't owe nobody, owe nobody
Always on the fuckin' job, I got no hobbies
Got the city fuckin' with me cause I'm homegrown
Vibin' out more than my phone though
Leave me 'lone, me on my own though
Look, I cut that bitch off like an edit
My daddy a G, it's genetics (Straight up)
I heard ya new shit, it's pathetic
Ya contract should be s-shredded
Took my dogs on a private jet from the public housing
I kept it G, yeah, one thousand
Clique star studded like the Paramount mountain
Everything I do is righteous
Betting on me is the right risk
Even in a fucking crisis
I'm never on some switching sides shit
I switch gears to the night shift
Blacking out cause I'm enlightened
God talk to me in silence
But I hear him every time mane
(Thank you God, God bless you, thank you so much)
Look, I woke up in beast mode
With my girl, that's beauty and the beast though
Been top 5, these niggas sleep though
Only thing that sold out is the seats though (Never sold my soul, never will never have)
Nigga how dare you stand before me and not respect my authority
If you fuck with my glory I'ma drop the L and get gory
I done did everything expect worry
Hella drama, my life story
Faith of a mustard seed, I kept growing
I knew that this life was meant for me
Niggas change up more than wishin' wells
Karma come around I'll wish 'em well
Livin' like I'm on a limitless pill
I kill the scene like I'm Denzel
Crazy like my jacket strapped up
Nigga I don't act but I'll act up
Brown paper bag like the lunch packed up
Back, back, back, back up
Nigga I'ma need like 10 feet
Or get stomped out with ten feet
I'ma always lose my temper
You cannot ""count to ten"" me
If I lose 1, I bounce back like 2, 3 did with 4, 5
Seen court rooms and court sides, ain't too many seen both sides
Nigga fuck what you know
Nigga I'm takin' back control
The under dog just turned into the wolf and the hunger steady grows
Yeah, I call shots while you call off
Never takin' summer or fall off
When you stay that committed to it, you just fall down and never fall off
Bounce, bounce, bitch, bounce (Yeah)
",annoyance,0.7948728799819946,0.017103711841627955,0.023828935343772173,1
11,11,328,1,2017,United States,343YBumqHu19cGoGARUTsd,31,Fake Love,2,2017-01-01,Drake,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,0.105,0.928,0.481,0.0,-9.35,0.0,134.007,0.613,True,"Yeah, yeah
I've been down so long it look like up to me
They look up to me
I got fake people showin' fake love to me
Straight up to my face
Somethin' ain't right when we talkin'
Look like you hidin' your problems
Really you never was all in
No you can't son me, you won't never get to run me
Just when shit look out of reach, I reach back like one, three
That's when they smile in my face
Whole time they wanna take my place
I can tell that love is fake
I don't trust a word you say
How you wanna clique up after your mistakes?
Look you in the face and it's just not the same
Vibe switch like night and day, I can see it like right away
I came up, you changed up, I caught that whole play
Since then, things never been the same
(That's just what I heard)
Skrrt
",annoyance,0.29703032970428467,0.019498607143759727,0.019347650930285454,1
12,12,359,1,2017,United States,4Km5HrUvYTaSUfiSGPJeQR,31,Bad and Boujee (feat. Lil Uzi Vert),1,2017-01-01,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,0.0611,0.926,0.666,0.0,-5.314,1.0,127.079,0.168,True,"You know, young rich niggas
You know so we ain't really had no old money
We got a whole lotta new money though, hah
(If Young Metro don't trust you I'm gon' shoot ya)
Raindrop (drip), drop top (drop top)
Smokin' on cookie in the hotbox (cookie)
Fuckin' on your bitch she a thot, thot (thot)
Cookin' up dope in the crockpot (pot)
We came from nothin' to somethin' nigga (hey)
I don't trust nobody grip the trigger (nobody)
Call up the gang, and they come and get you (gang)
Cry me a river, give you a tissue (hey)
My bitch is bad and boujee (bad)
Cookin' up dope with an Uzi (blaow)
My niggas is savage, ruthless (savage)
We got 30's and 100 rounds too (grrah)
Offset, woo, woo, woo, woo, woo
Rackaids on rackaids (racks), got back-ends on back-ends
I'm ridin' around in a coupe (coupe)
I take your bitch right from you (you)
Bitch I'm a dog, roof (grr)
Beat the hoe walls loose (hey)
Hop in the frog, woo (skrt)
I tell that bitch to come comfort me (comfort me)
I swear these niggas is under me (hey)
They hate and the devil keep jumpin' me (jumpin' me)
Bankrolls on me keep me company (cash)
Ayy, we did the most (most)
Yeah, pull up in Ghosts, yeah (woo)
Yeah, my diamond's a choker (glah)
Holdin' the fire with no holster (blaow)
Rick the Ruler, diamonds cooler (cooler)
This a Rollie, not a Muller (hey)
Dabbin' on 'em like the usual (dab)
Magic with the brick, do voodoo (magic)
Courtside with a bad bitch (bitch)
Then I send the bitch through Uber (go)
I'm young and rich and plus I'm bougie (hey)
I'm not stupid so I keep the Uzi (rrah)
So my money makin' my back ache
You niggas got a low Act rate (act)
We from the Nawf, yeah, dat way (nawf)
Fat Cookie blunt in the ashtray (cookie)
Two bitches, just national smash day (smash)
Hop in the Lamb', have a drag race (skrt)
I let them birds take a bath, bathe (brr)
Pour a four, I'm droppin' muddy, outer space, Kid Cudi (drank)
Introduce me to your bitch as wifey and we know she sluttin'
Broke a brick down, Nutty Buddy, now that nigga duckin'
Don't move too fast, I might shoot you (huh?)
Draco bad and boujee (Draco)
I'm always hangin' with shooters (brrah)
Might be posted somewhere secluded (private)
Still be playin' with pots and pans, call me Quavo Ratatouille
Run with that sack, call me Boobie (run with it)
When I'm on stage show me boobies (ay)
Ice on my neck, I'm the coolest (ice)
Hop out the suicide with the Uzi (pew-pew-pew)
I hop out with all of the drugs and the good luck (skrrt)
I'm cookin', I'm cookin', I'm whippin'
I'm whippin' into a rock up, let it lock up (lock up)
I gave her 10 racks
I told her go shoppin' and spend it all at the pop up (ten)
These bitches they fuck and suck dick
And they bustin' for Instagram, get your clout up
Uh, yeah, dat way, float on the track like a Segway (go)
Yeah, dat way, I used to trap by the Subway (trappin')
Yeah, dat way, young nigga trap with the AK (rrrah)
Big dyke ho, get the door, Macy Gray (hey)
My bitch she bad to the bone, ay
Wait, these niggas watchin'
I swear to God they be my clones
Yeah, hey, huh
Switchin' my hoes like my flows (what?)
Keep on shootin' that gun, don't reload
Ooh, ooh, now she want fuck with my crew
'Cause the money come all out the roof
Drive the 'Rari, that bitch got no roof (skrrt)
Wait, what kind of 'Rari? 458 (damn)
All of these niggas, they hate (they hate)
Try to hide, shoot through the gate
Look, go to strip club, make it rain, yeah
So much money, they use rakes
Count 100 thousand in your face (in your face)
Yeah, then put 300 right in the safe (yeah)
Met her today, yeah (ooh)
She talk to me like she knew me, yeah
Go to sleep in a jacuzzi, yeah
Wakin' up right to a two-piece, yeah
Countin' that paper like loose leaf, yeah
Gettin' that chicken with blue cheese, yeah
Boy, you so fake like my collar
You snakin', I swear to God that be that Gucci, aye
And you know we winnin' (winnin')
Yeah, we is not losin'
Try to play your song, it ain't move me (what?)
Saw your girl once, now she choosin', yeah
",annoyance,0.3460214175283909,0.0059335140394978225,0.009518484584987164,1
13,13,390,1,2017,United States,5aAx2yezTd8zXrkmtKl66Z,31,Starboy,3,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,0.165,0.681,0.594,3.49e-06,-7.028,1.0,186.054,0.535,True,"I'm tryna put you in the worst mood, ah
P1 cleaner than your church shoes, ah
Milli' point two just to hurt you, ah
All red Lamb' just to tease you, ah
None of these toys on lease too, ah
Made your whole year in a week too, yeah
Main bitch outta your league too, ah
Side bitch out of your league too, ah
House so empty, need a centerpiece
20 racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talking money, need a hearing aid
You talking 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain
Look what you've done
I'm a motherfucking starboy
Every day a nigga try to test me, ah
Pull off in that Roadster SV, ah
Pockets overweight, getting hefty, ah
Coming for the king, that's a far cry, I
I come alive in the fall time, I
The competition, I don't really listen
I'm in the blue Mulsanne bumping New Edition
Let a nigga brag Pitt
Legend of the fall, took the year like a bandit
Bought mama a crib and a brand-new wagon
Now she hit the grocery shop looking lavish
Star Trek roof in that Wraith of Khan
Girls get loose when they hear this song
A hundred on the dash, get me close to God
We don't pray for love, we just pray for cars
",love,0.24731400609016418,0.2841871976852417,0.010752429254353046,0
14,14,421,1,2017,United States,3NdDpSvN911VPGivFlV5d0,30,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",9,2017-01-02,"ZAYN, Taylor Swift",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,0.0631,0.735,0.451,1.3e-05,-8.374,1.0,117.973,0.0862,False,"Been sitting eyes wide open behind these four walls, hoping you'd call
It's just a cruel existence like there's no point hoping at all
Baby, baby, I feel crazy, up all night, all night and every day
Give me something, oh, but you say nothing
What is happening to me?
I don't wanna live forever, 'cause I know I'll be living in vain
And I don't wanna fit wherever
I just wanna keep calling your name until you come back home
I'm sitting eyes wide open and I got one thing stuck in my mind
Wondering if I dodged a bullet or just lost the love of my life
I've been looking sad in all the nicest places
I see you around in all these empty faces
Now I'm in a cab, I tell 'em where your place is
",sadness,0.020961500704288483,0.02887066639959812,0.8080137372016907,1
15,15,451,2,2017,Canada,3NdDpSvN911VPGivFlV5d0,28,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3,2017-02-01,"ZAYN, Taylor Swift",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,0.0631,0.735,0.451,1.3e-05,-8.374,1.0,117.973,0.0862,False,"Been sitting eyes wide open behind these four walls, hoping you'd call
It's just a cruel existence like there's no point hoping at all
Baby, baby, I feel crazy, up all night, all night and every day
Give me something, oh, but you say nothing
What is happening to me?
I don't wanna live forever, 'cause I know I'll be living in vain
And I don't wanna fit wherever
I just wanna keep calling your name until you come back home
I'm sitting eyes wide open and I got one thing stuck in my mind
Wondering if I dodged a bullet or just lost the love of my life
I've been looking sad in all the nicest places
I see you around in all these empty faces
Now I'm in a cab, I tell 'em where your place is
",sadness,0.020961500704288483,0.02887066639959812,0.8080137372016907,1
16,16,479,2,2017,Canada,72jbDTw1piOOj770jWNeaG,28,Paris,2,2017-02-01,The Chainsmokers,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,0.0215,0.653,0.658,1.66e-06,-6.428,1.0,99.99,0.219,False,"We were staying in Paris
To get away from your parents
And I thought, ""Wow, if I could take this in a shot right now
I don't think that we could work this out""
Out on the terrace
I don't know if it's fair, but I thought
""How could I let you fall by yourself
While I'm wasted with someone else?""
If we go down, then we go down together
They'll say you could do anything
They'll say that I was clever
We'll get away with everything
Let's show them we are better
You look so proud standing there, with a frown and a cigarette
Posting pictures of yourself on the internet
We breathe in the air of this small town
On our own, cutting class for the thrill of it
Getting drunk on the past we were livin' in
",confusion,0.011560688726603985,0.002571576042100787,0.000678374373819679,1
17,17,507,2,2017,Canada,7qiZfU4dY1lWllzX7mPBI3,28,Shape of You,1,2017-02-01,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,0.581,0.825,0.652,0.0,-3.183,0.0,95.977,0.931,False,"The club isn't the best place to find a lover
So the bar is where I go (mm-mm)
Me and my friends at the table doing shots
Drinking fast, and then we talk slow (mm-mm)
You come over and start up a conversation with just me
And trust me, I'll give it a chance now (mm-mm)
Take my hand, stop, put ""Van the Man"" on the jukebox
And then we start to dance
And now I'm singing like
Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much
Grab on my waist and put that body on me""
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
Oh I, oh I, oh I, oh I
One week in we let the story begin
We're going out on our first date (mm-mm)
But you and me are thrifty, so go all-you-can-eat
Fill up your bag, and I fill up a plate (mm-mm)
We talk for hours and hours about the sweet and the sour
And how your family is doing okay (mm-mm)
And leave and get in a taxi, then kiss in the back seat
Tell the driver make the radio play
Come on, be my baby, come on
",love,0.011524745961651206,0.9227787032723427,0.007042378070764244,0
18,18,535,2,2017,Canada,4Km5HrUvYTaSUfiSGPJeQR,26,Bad and Boujee (feat. Lil Uzi Vert),4,2017-02-01,Migos,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,0.0611,0.926,0.666,0.0,-5.314,1.0,127.079,0.168,True,"You know, young rich niggas
You know so we ain't really had no old money
We got a whole lotta new money though, hah
(If Young Metro don't trust you I'm gon' shoot ya)
Raindrop (drip), drop top (drop top)
Smokin' on cookie in the hotbox (cookie)
Fuckin' on your bitch she a thot, thot (thot)
Cookin' up dope in the crockpot (pot)
We came from nothin' to somethin' nigga (hey)
I don't trust nobody grip the trigger (nobody)
Call up the gang, and they come and get you (gang)
Cry me a river, give you a tissue (hey)
My bitch is bad and boujee (bad)
Cookin' up dope with an Uzi (blaow)
My niggas is savage, ruthless (savage)
We got 30's and 100 rounds too (grrah)
Offset, woo, woo, woo, woo, woo
Rackaids on rackaids (racks), got back-ends on back-ends
I'm ridin' around in a coupe (coupe)
I take your bitch right from you (you)
Bitch I'm a dog, roof (grr)
Beat the hoe walls loose (hey)
Hop in the frog, woo (skrt)
I tell that bitch to come comfort me (comfort me)
I swear these niggas is under me (hey)
They hate and the devil keep jumpin' me (jumpin' me)
Bankrolls on me keep me company (cash)
Ayy, we did the most (most)
Yeah, pull up in Ghosts, yeah (woo)
Yeah, my diamond's a choker (glah)
Holdin' the fire with no holster (blaow)
Rick the Ruler, diamonds cooler (cooler)
This a Rollie, not a Muller (hey)
Dabbin' on 'em like the usual (dab)
Magic with the brick, do voodoo (magic)
Courtside with a bad bitch (bitch)
Then I send the bitch through Uber (go)
I'm young and rich and plus I'm bougie (hey)
I'm not stupid so I keep the Uzi (rrah)
So my money makin' my back ache
You niggas got a low Act rate (act)
We from the Nawf, yeah, dat way (nawf)
Fat Cookie blunt in the ashtray (cookie)
Two bitches, just national smash day (smash)
Hop in the Lamb', have a drag race (skrt)
I let them birds take a bath, bathe (brr)
Pour a four, I'm droppin' muddy, outer space, Kid Cudi (drank)
Introduce me to your bitch as wifey and we know she sluttin'
Broke a brick down, Nutty Buddy, now that nigga duckin'
Don't move too fast, I might shoot you (huh?)
Draco bad and boujee (Draco)
I'm always hangin' with shooters (brrah)
Might be posted somewhere secluded (private)
Still be playin' with pots and pans, call me Quavo Ratatouille
Run with that sack, call me Boobie (run with it)
When I'm on stage show me boobies (ay)
Ice on my neck, I'm the coolest (ice)
Hop out the suicide with the Uzi (pew-pew-pew)
I hop out with all of the drugs and the good luck (skrrt)
I'm cookin', I'm cookin', I'm whippin'
I'm whippin' into a rock up, let it lock up (lock up)
I gave her 10 racks
I told her go shoppin' and spend it all at the pop up (ten)
These bitches they fuck and suck dick
And they bustin' for Instagram, get your clout up
Uh, yeah, dat way, float on the track like a Segway (go)
Yeah, dat way, I used to trap by the Subway (trappin')
Yeah, dat way, young nigga trap with the AK (rrrah)
Big dyke ho, get the door, Macy Gray (hey)
My bitch she bad to the bone, ay
Wait, these niggas watchin'
I swear to God they be my clones
Yeah, hey, huh
Switchin' my hoes like my flows (what?)
Keep on shootin' that gun, don't reload
Ooh, ooh, now she want fuck with my crew
'Cause the money come all out the roof
Drive the 'Rari, that bitch got no roof (skrrt)
Wait, what kind of 'Rari? 458 (damn)
All of these niggas, they hate (they hate)
Try to hide, shoot through the gate
Look, go to strip club, make it rain, yeah
So much money, they use rakes
Count 100 thousand in your face (in your face)
Yeah, then put 300 right in the safe (yeah)
Met her today, yeah (ooh)
She talk to me like she knew me, yeah
Go to sleep in a jacuzzi, yeah
Wakin' up right to a two-piece, yeah
Countin' that paper like loose leaf, yeah
Gettin' that chicken with blue cheese, yeah
Boy, you so fake like my collar
You snakin', I swear to God that be that Gucci, aye
And you know we winnin' (winnin')
Yeah, we is not losin'
Try to play your song, it ain't move me (what?)
Saw your girl once, now she choosin', yeah
",annoyance,0.3460214175283909,0.0059335140394978225,0.009518484584987164,1
19,19,561,2,2017,Canada,5knuzwU65gJK7IF5yJsuaW,23,Rockabye (feat. Sean Paul & Anne-Marie),6,2017-02-01,Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,0.406,0.72,0.763,0.0,-4.068,0.0,101.965,0.742,False,"Call it love and devotion
Call it a mom's adoration (foundation)
A special bond of creation, hah
For all the single moms out there, going through frustration
Clean Bandit, Sean-da-Paul, Anne-Marie
Sing, make them hear
She works at nights, by the water
She's gone astray, so far away
From her father's daughter
She just wants a life for her baby
All on her own, no one will come
She's got to save him (daily struggle)
She tells him, ""Ooh, love, no one's ever gonna hurt you, love""
""I'm gonna give you all of my love""
""Nobody matters like you"" (stay up there, stay up there)
She tells him, ""Your life ain't gon' be nothing like my life"" (straight!)
""You're gonna grow and have a good life""
""I'm gonna do what I've got to do"" (stay up there, stay up there)
So, rockabye, baby, rockabye
I'm gonna rock you
Somebody's got you
Ah, rockabye, no
Rockabye, rocka-rocka-rocka-bye (oh)
Rockabye (yeah, yeah)
Single mum, how're you doing out there?
Facing the hard life, without no fear (yeah)
Just so you know that you really care
'Cause any obstacle come, you're well-prepared (oh, no)
And no, mama, you never shed tear
'Cause you have to shed things year after year (na, na, na, na)
And you give the yout love beyond compare (yeah)
You find his school fee and the bus fare (yeah)
Mmh, all when di pops disappear
Inna rum bar, can't find him nowhere
Steadily your workflow, heavily you know
So your non-stop, no time, no time for ya dear
Now she got a six-year-old
Trying to keep him warm
Trying to keep out the cold
When he looks in her eyes
He don't know he is safe
Rockabye, don't bother cry
Lift up your head, lift it up to the sky, yo
Angels surround you, just dry your eye
",love,0.01820568321272731,0.6116519288625568,0.020853402093052864,0
20,20,584,2,2017,United Kingdom,6PCUP3dWmTjcTtXY02oFdT,28,Castle on the Hill,2,2017-02-01,Ed Sheeran,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,0.0232,0.461,0.834,1.14e-05,-4.868,1.0,135.007,0.471,False,"When I was six years old, I broke my leg
When I was running from my brother and his friends
And tasted the sweet perfume of the mountain grass I rolled down
Well, I was younger then, take me back to when
I found my heart and broke it here
Made friends and lost them through the years
And I've not seen the roaring fields in so long, I know I've grown
But I can't wait to go home
I'm on my way
Driving at 90 down those country lanes
Singing to ""Tiny Dancer""
And I miss the way you make me feel, and it's real
And we watched the sunset over the castle on the hill
15 years old and smoking hand-rolled cigarettes
Running from the law through the backfields
And getting drunk with my friends
Had my first kiss on a Friday night
I don't reckon that I did it right
We found weekend jobs, when we got paid
We'd buy cheap spirits and drink them straight
Me and my friends have not thrown up in so long, oh, how we've grown
One friend left to sell clothes, one works down by the coast
One had two kids but lives alone, one's brother overdosed
One's already on his second wife, one's just barely getting by
I still remember these old country lanes
When we did not know the answers
",sadness,0.01644791290163994,0.031927432864904404,0.30397719144821167,1
21,21,612,2,2017,United Kingdom,72jbDTw1piOOj770jWNeaG,28,Paris,4,2017-02-01,The Chainsmokers,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,0.0215,0.653,0.658,1.66e-06,-6.428,1.0,99.99,0.219,False,"We were staying in Paris
To get away from your parents
And I thought, ""Wow, if I could take this in a shot right now
I don't think that we could work this out""
Out on the terrace
I don't know if it's fair, but I thought
""How could I let you fall by yourself
While I'm wasted with someone else?""
If we go down, then we go down together
They'll say you could do anything
They'll say that I was clever
We'll get away with everything
Let's show them we are better
You look so proud standing there, with a frown and a cigarette
Posting pictures of yourself on the internet
We breathe in the air of this small town
On our own, cutting class for the thrill of it
Getting drunk on the past we were livin' in
",confusion,0.011560688726603985,0.002571576042100787,0.000678374373819679,1
22,22,640,2,2017,United Kingdom,7qiZfU4dY1lWllzX7mPBI3,28,Shape of You,1,2017-02-01,Ed Sheeran,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,0.581,0.825,0.652,0.0,-3.183,0.0,95.977,0.931,False,"The club isn't the best place to find a lover
So the bar is where I go (mm-mm)
Me and my friends at the table doing shots
Drinking fast, and then we talk slow (mm-mm)
You come over and start up a conversation with just me
And trust me, I'll give it a chance now (mm-mm)
Take my hand, stop, put ""Van the Man"" on the jukebox
And then we start to dance
And now I'm singing like
Girl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much
Grab on my waist and put that body on me""
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Last night you were in my room
And now my bed sheets smell like you
Every day discovering something brand new
Oh I, oh I, oh I, oh I
One week in we let the story begin
We're going out on our first date (mm-mm)
But you and me are thrifty, so go all-you-can-eat
Fill up your bag, and I fill up a plate (mm-mm)
We talk for hours and hours about the sweet and the sour
And how your family is doing okay (mm-mm)
And leave and get in a taxi, then kiss in the back seat
Tell the driver make the radio play
Come on, be my baby, come on
",love,0.011524745961651206,0.9227787032723427,0.007042378070764244,0
23,23,668,2,2017,United Kingdom,00lNx0OcTJrS3MKHcB80HY,27,You Don't Know Me - Radio Edit,3,2017-02-01,"Jax Jones, RAYE",https://open.spotify.com/track/00lNx0OcTJrS3MKHcB80HY,0.163,0.876,0.669,0.0,-6.054,0.0,124.007,0.682,True,"Ooh, na-na, yeah
Don't act like you know me, like you know me, na-na, yeah
I am not your homie, not your
What you, what you gon' do?
Oh, yeah, time is money so don't fuck with mine
See I'm out with my girls, I'ma have a good time
Step back with your chit-chat, killin' my vibe
Oh, oh, whoa, oh, ah
See, I can't get too much of a good thing
Is why me a dressed up in the finest things, whoa
Please hold your tongue, don't say a damn thing, mm
See your iPhone camera flashin'
Please step back, it's my style you're crampin'
You're here for long? Oh, no, I'm just passin'
Do you wanna drink? Nah, thanks for askin'
I mean, we could throw shapes together
But it doesn't mean you're in my circle, yeah
Cruise through life and I'm feelin' on track
If you can't keep up, then you better fall back, mm
'Cause money look better when I see it all stacked up
Come 'round here, just know though
Won't get what you want, what you want, what you want, want
Tell you want you don't know
",annoyance,0.36144912242889404,0.014350547455251217,0.00246701342985034,1
24,24,695,2,2017,United Kingdom,5Ua3GXyHwiSfpNTMjq6m2z,24,Touch,5,2017-02-01,Little Mix,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,0.032,0.607,0.718,0.0,-4.095,1.0,101.821,0.551,False,"You and I and nobody else
Feeling feelings I've never felt
The way you got me under your spell
Don't you keep it all to yourself
So won't you take it?
I feel like for the first time I am not faking
Fingers on my buttons and now you're playing
Just a touch of your love is enough
To knock me off of my feet all week
To take control of my whole body
Photograph with no T-shirt on
Why you making me wait so long?
I promise to keep this a secret, I'll never tell
And now my whole week, my whole week is golden
Can you see me glowing? That's how I feel
And I'm not afraid to fade into emotions
'Cause I know that this could be something real
",love,0.009178013540804386,0.19133970141410828,0.008353455923497677,0
25,25,719,2,2017,United States,0SGkqnVQo9KPytSri1H6cF,28,Bounce Back,7,2017-02-01,Big Sean,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF,0.106,0.78,0.575,0.0,-5.628,0.0,81.502,0.273,True,"If Young Metro don't trust you I'ma shoot you
Last night took an L, but tonight I bounce back
Wake up every morning, by the night, I count stacks
Knew that ass was real when I hit, it bounce back
(You ain't getting checks)
Boy, I been broke as hell, cashed a check and bounced back
D town LAX, every week I bounce back
If you a real one, then you know how to bounce back
Don't owe nobody, owe nobody
Always on the fuckin' job, I got no hobbies
Got the city fuckin' with me cause I'm homegrown
Vibin' out more than my phone though
Leave me 'lone, me on my own though
Look, I cut that bitch off like an edit
My daddy a G, it's genetics (Straight up)
I heard ya new shit, it's pathetic
Ya contract should be s-shredded
Took my dogs on a private jet from the public housing
I kept it G, yeah, one thousand
Clique star studded like the Paramount mountain
Everything I do is righteous
Betting on me is the right risk
Even in a fucking crisis
I'm never on some switching sides shit
I switch gears to the night shift
Blacking out cause I'm enlightened
God talk to me in silence
But I hear him every time mane
(Thank you God, God bless you, thank you so much)
Look, I woke up in beast mode
With my girl, that's beauty and the beast though
Been top 5, these niggas sleep though
Only thing that sold out is the seats though (Never sold my soul, never will never have)
Nigga how dare you stand before me and not respect my authority
If you fuck with my glory I'ma drop the L and get gory
I done did everything expect worry
Hella drama, my life story
Faith of a mustard seed, I kept growing
I knew that this life was meant for me
Niggas change up more than wishin' wells
Karma come around I'll wish 'em well
Livin' like I'm on a limitless pill
I kill the scene like I'm Denzel
Crazy like my jacket strapped up
Nigga I don't act but I'll act up
Brown paper bag like the lunch packed up
Back, back, back, back up
Nigga I'ma need like 10 feet
Or get stomped out with ten feet
I'ma always lose my temper
You cannot ""count to ten"" me
If I lose 1, I bounce back like 2, 3 did with 4, 5
Seen court rooms and court sides, ain't too many seen both sides
Nigga fuck what you know
Nigga I'm takin' back control
The under dog just turned into the wolf and the hunger steady grows
Yeah, I call shots while you call off
Never takin' summer or fall off
When you stay that committed to it, you just fall down and never fall off
Bounce, bounce, bitch, bounce (Yeah)
",annoyance,0.7948728799819946,0.017103711841627955,0.023828935343772173,1
